person_id,display_name,variants,first_game,last_game,game_count,games,span_years,largest_gap_years,uncertain
abdulkamal-abdullahi,Abdulkamal Abdullahi,Abdulkamal Abdullahi,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
abdulwajid-mohamed,AbdulWajid Mohamed,AbdulWajid Mohamed,halo-4,halo-4,1,halo-4,0,0,False
abdurhaman-baharedin,Abdurhaman Baharedin,Abdurhaman Baharedin,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
abe-robertson,Abe Robertson,Abe Robertson,halo-4,halo-4,1,halo-4,0,0,False
abhinandan-gosh,Abhinandan Gosh,Abhinandan Gosh,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
abhishek-vijay,Abhishek Vijay,Abhishek Vijay,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
abraham-ali,Abraham Ali,Abraham Ali,halo-4,halo-4,1,halo-4,0,0,False
abraham-baldonado,Abraham Baldonado,Abraham Baldonado,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
ace-cheung,Ace Cheung,Ace Cheung,halo-5,halo-infinite,2,halo-5|halo-infinite,6,6,False
adam-adcock,Adam Adcock,Adam Adcock,halo-3,halo-3,1,halo-3,0,0,False
adam-alldredge,Adam Alldredge,Adam Alldredge,halo-4,halo-5,2,halo-4|halo-5,3,3,False
adam-auzins,Adam Auzins,Adam Auzins,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
adam-baldwin,Adam Baldwin,Adam Baldwin,halo-3,halo-3-odst,2,halo-3|halo-3-odst,2,2,False
adam-barnette,Adam Barnette,Adam Barnette,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
adam-bodden,Adam Bodden,Adam Bodden,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
adam-boyd,Adam Boyd,Adam Boyd,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
adam-braa,Adam Braa,Adam Braa,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
