game_id,source_ref,heading
halo-2,L519,Credits / Community / Middleware and Additional Credits
halo-2,L52,Credits / Producers
halo-2,L520,Credits / Community / Middleware and Additional Credits
halo-2,L521,Credits / Community / Middleware and Additional Credits
halo-2,L522,Credits / Community / Middleware and Additional Credits
halo-2,L523,Credits / Community / Middleware and Additional Credits
halo-2,L524,Credits / Community / Middleware and Additional Credits
halo-2,L525,Credits / Community / Middleware and Additional Credits
halo-2,L526,Credits / Community / Middleware and Additional Credits
halo-2,L527,Credits / Community / Middleware and Additional Credits
halo-2,L528,Credits / Community / Middleware and Additional Credits
halo-2,L529,Credits / Community / Middleware and Additional Credits
halo-2,L53,Credits / Producers
halo-2,L530,Credits / Community / Middleware and Additional Credits
halo-2,L54,Credits / Producers
halo-2,L56,"Credits / Test Manager, Producer Bungie.net"
halo-2,L57,"Credits / Test Manager, Producer Bungie.net"
halo-2,L58,"Credits / Test Manager, Producer Bungie.net"
halo-2,L59,"Credits / Test Manager, Producer Bungie.net"
halo-2,L61,Credits / Engineering
halo-2,L62,Credits / Engineering
halo-2,L63,Credits / Engineering
halo-2,L64,Credits / Engineering
halo-2,L65,Credits / Engineering
halo-2,L66,Credits / Engineering
halo-2,L67,Credits / Engineering
halo-2,L68,Credits / Engineering
halo-2,L69,Credits / Engineering
halo-2,L70,Credits / Engineering
halo-2,L71,Credits / Engineering
halo-2,L72,Credits / Engineering
halo-2,L74,Credits / Engineering / Additional Engineering
halo-2,L75,Credits / Engineering / Additional Engineering
halo-2,L76,Credits / Engineering / Additional Engineering
halo-2,L79,Credits / Design / Mission Designers
halo-2,L80,Credits / Design / Mission Designers
halo-2,L81,Credits / Design / Mission Designers
halo-2,L83,Credits / Design / Additional Mission Design
halo-2,L84,Credits / Design / Additional Mission Design
halo-2,L86,Credits / Design / Cinematic Designer
halo-2,L87,Credits / Design / Cinematic Designer
halo-2,L90,Credits / Art / Lead 3D & Effects Artist
halo-2,L91,Credits / Art / Lead 3D & Effects Artist
halo-2,L93,Credits / Art / 3D Artists
halo-2,L94,Credits / Art / 3D Artists
halo-2,L95,Credits / Art / 3D Artists
halo-2,L96,Credits / Art / 3D Artists
halo-2,L97,Credits / Art / 3D Artists
halo-2,L99,Credits / Art / Additional 3D Art
halo-2,mobygames:tr0,Xbox credits (2004)
halo-2,mobygames:tr1,Bungie
halo-2,mobygames:tr10,Bungie
halo-2,mobygames:tr11,Bungie
halo-2,mobygames:tr12,Bungie
halo-2,mobygames:tr13,Bungie
halo-2,mobygames:tr14,Bungie
halo-2,mobygames:tr15,Bungie
halo-2,mobygames:tr16,Bungie
halo-2,mobygames:tr17,Bungie
halo-2,mobygames:tr18,Bungie
halo-2,mobygames:tr19,Bungie
halo-2,mobygames:tr2,Bungie
halo-2,mobygames:tr20,Bungie
halo-2,mobygames:tr21,Bungie
halo-2,mobygames:tr22,Bungie
halo-2,mobygames:tr23,Bungie
halo-2,mobygames:tr24,Bungie
halo-2,mobygames:tr25,Bungie
halo-2,mobygames:tr26,Bungie
halo-2,mobygames:tr27,Bungie
halo-2,mobygames:tr28,Bungie
halo-2,mobygames:tr29,Bungie
halo-2,mobygames:tr3,Bungie
halo-2,mobygames:tr30,Bungie
halo-2,mobygames:tr31,Bungie
halo-2,mobygames:tr32,Bungie
halo-2,mobygames:tr33,Bungie
halo-2,mobygames:tr34,Bungie
halo-2,mobygames:tr35,Bungie
halo-2,mobygames:tr36,Bungie
halo-2,mobygames:tr37,Bungie
halo-2,mobygames:tr38,Bungie
halo-2,mobygames:tr39,Bungie
halo-2,mobygames:tr4,Bungie
halo-2,mobygames:tr40,Bungie
halo-2,mobygames:tr41,Bungie
halo-2,mobygames:tr42,Bungie
halo-2,mobygames:tr43,Bungie
halo-2,mobygames:tr44,Bungie
halo-2,mobygames:tr45,Microsoft
halo-2,mobygames:tr46,Microsoft
halo-2,mobygames:tr47,Microsoft
halo-2,mobygames:tr48,Microsoft
halo-2,mobygames:tr49,Microsoft
halo-2,mobygames:tr5,Bungie
halo-2,mobygames:tr50,Microsoft
halo-2,mobygames:tr51,Microsoft
halo-2,mobygames:tr52,Microsoft
halo-2,mobygames:tr53,Microsoft
halo-2,mobygames:tr54,Microsoft
halo-2,mobygames:tr6,Bungie
halo-2,mobygames:tr7,Bungie
halo-2,mobygames:tr8,Bungie
halo-2,mobygames:tr9,Bungie
halo-3,L100,Credits / Art
halo-3,L1000,Credits / Test Contractors
halo-3,L1001,Credits / Test Contractors
halo-3,L1002,Credits / Test Contractors
halo-3,L1003,Credits / Test Contractors
halo-3,L1004,Credits / Test Contractors
halo-3,L1005,Credits / Test Contractors
halo-3,L1006,Credits / Test Contractors
halo-3,L1007,Credits / Test Contractors
