name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Stuart K. Provine,,Audio,Sound Designer,,Source Sound Inc.,core,mobygames:tr137
Tim Walston,,Audio,Sound Designer,,Source Sound Inc.,core,mobygames:tr137
Justin Davey,,Audio,Sound Editor,,Source Sound Inc.,core,mobygames:tr138
Braden Parkes,,Audio,1st Assistant Sound Editor,,Source Sound Inc.,core,mobygames:tr139
Travis Prater,,Audio,Assistant Sound Editor,,Source Sound Inc.,core,mobygames:tr140
George Pereyra,,Audio,Assistant Sound Editor,,Source Sound Inc.,core,mobygames:tr140
Jay W. Jennings,,Audio,Additional Re-recording Mixer,,Source Sound Inc.,core,mobygames:tr141
Thomas C. Brewer,,Audio,Additional Re-recording Mixer,,Source Sound Inc.,core,mobygames:tr141
Gregg Barbanell,,Audio,Foley Walker,,Source Sound Inc.,core,mobygames:tr142
Chad Bedell,,Audio,Sound Designer,,Formosa Interactive,core,mobygames:tr147
Eliot R. Connors,,Audio,Sound Designer,,Formosa Interactive,core,mobygames:tr147
Ronald Dutch Hill,,Audio,Sound Designer,,Formosa Interactive,core,mobygames:tr147
D. Shinji Furuya,,Audio,Asset Coordinator,,Formosa Interactive,core,mobygames:tr148
Jeffrey Wilhoit,,Audio,Foley Artist,,Formosa Interactive,core,mobygames:tr149
William Beaman,,Voice,"Director, Studio Services and Celebrity Acquisitions",,Formosa Interactive,core,mobygames:tr152
Julia Bianco Schoeffling,,Voice,"Manager, Voice Over Studios",,Formosa Interactive,core,mobygames:tr153
Kevin M. McMullan,,Voice,Voice Over Director,,Formosa Interactive,core,mobygames:tr154
Kirsten Scoles,,Voice,Project Coordinator,,Formosa Interactive,core,mobygames:tr155
Krysta Biondo,,Voice,Administrative Assistant,,Formosa Interactive,core,mobygames:tr156
Josh Mosser,,Voice,Recording Engineer,,Formosa Interactive,core,mobygames:tr157
Jessica Medina,,Voice,Assistant Engineer,,Formosa Interactive,core,mobygames:tr158
Tyrone Forte,,Voice,Assistant Engineer,,Formosa Interactive,core,mobygames:tr158
Daniel P. Francis,,Voice,Editorial Supervisor,,Formosa Interactive,core,mobygames:tr159
Josh Jensen,,Special Thanks,Thanks,,,special-thanks,mobygames:tr211
Anastasia Bender,,Special Thanks,Thanks,,,special-thanks,mobygames:tr211
Franck Balson,,Other,Director,,Blur,core,mobygames:tr213
Tim Miller,,Other,Company Creative Director,,Blur,core,mobygames:tr214
Jerome Denjean,,Other,CG Supervisor,,Blur,core,mobygames:tr215
Kevin Margo,,Other,CG Supervisor,,Blur,core,mobygames:tr215
Thierry Labelle,,Art,Animation Supervisor,,Blur,core,mobygames:tr216
Bryan Hillestad,,Art,Facial Animation Supervisor,,Blur,core,mobygames:tr217
Anthony Romero,,Voice,Motion Capture Supervisor,,Blur,core,mobygames:tr218
Jeremie Passerin,,Other,Rigging Supervisor,,Blur,core,mobygames:tr219
Kirby Miller,,Other,FX Supervisor,,Blur,core,mobygames:tr220
Duane Powell,,Other,Information Technology & Systems Supervisor,,Blur,core,mobygames:tr221
Jeffery Beeland,,Other,Pipeline & Tools Supervisor,,Blur,core,mobygames:tr222
Keith luczywo,,Production,Producer,,Blur,core,mobygames:tr223
Jake Fenske,,Production,Line Producer,,Blur,core,mobygames:tr224
Al Shier,,Production,Executive Producer,,Blur,core,mobygames:tr225
Douglas Lassance,,Other,Layout Lead,,Blur,core,mobygames:tr227
Allan Cabal,,Art,Layout Artists,,Blur,core,mobygames:tr228
Curtis Cardwell,,Art,Layout Artists,,Blur,core,mobygames:tr228
Mathias Jourdes,,Art,Layout Artists,,Blur,core,mobygames:tr228
Mikey Rogers,,Art,Layout Artists,,Blur,core,mobygames:tr228
Fulvio Sestito,,Art,Layout Artists,,Blur,core,mobygames:tr228
Aristomenis Tsirbas,,Art,Layout Artists,,Blur,core,mobygames:tr228
Dirk Valk,,Art,Layout Artists,,Blur,core,mobygames:tr228
Sammy Wong,,Art,Layout Artists,,Blur,core,mobygames:tr228
Andrea Cohen,,Other,Editorial Assistant,,Blur,core,mobygames:tr229
Mathieu Aerni,,Art,Character Modeling Lead,,Blur,core,mobygames:tr231
James Ku,,Art,Character Modeling Lead,,Blur,core,mobygames:tr231
Akin Bilgic,,Art,Character Modelers,,Blur,core,mobygames:tr232
Damien Canderle,,Art,Character Modelers,,Blur,core,mobygames:tr232
Francisco A. Cortina,,Art,Character Modelers,,Blur,core,mobygames:tr232
Camille Delmeule,,Art,Character Modelers,,Blur,core,mobygames:tr232
Daniel Alexander Garcia,,Art,Character Modelers,,Blur,core,mobygames:tr232
Etienne Jabbour,,Art,Character Modelers,,Blur,core,mobygames:tr232
Arda Koyuncu,,Art,Character Modelers,,Blur,core,mobygames:tr232
Alexandre Litchinko,,Art,Character Modelers,,Blur,core,mobygames:tr232
Jeff Miller,,Art,Character Modelers,,Blur,core,mobygames:tr232
Gun Park,,Art,Character Modelers,,Blur,core,mobygames:tr232
Dmitriy Robochiy,,Art,Character Modelers,,Blur,core,mobygames:tr232
Sergey Samuilov,,Art,Character Modelers,,Blur,core,mobygames:tr232
Jesse Sandifer,,Art,Character Modelers,,Blur,core,mobygames:tr232
Juan Solís García,,Art,Character Modelers,,Blur,core,mobygames:tr232
Andrei Szasz,,Art,Character Modelers,,Blur,core,mobygames:tr232
Furio Tedeschi,,Art,Character Modelers,,Blur,core,mobygames:tr232
Tom Tran,,Art,Character Modelers,,Blur,core,mobygames:tr232
David Muñoz Velázquez,,Art,Character Modelers,,Blur,core,mobygames:tr232
Tyler Fox,,Other,Facial Rigging Lead,,Blur,core,mobygames:tr234
Steven Alley,,Other,Rigger,,Blur,core,mobygames:tr235
Justin Callanan,,Other,Rigger,,Blur,core,mobygames:tr235
Joshua Cogswell,,Other,Rigger,,Blur,core,mobygames:tr235
Benjamin Durkin,,Other,Rigger,,Blur,core,mobygames:tr235
Jennifer Hendrich,,Other,Rigger,,Blur,core,mobygames:tr235
Gerry Hsu,,Other,Rigger,,Blur,core,mobygames:tr235
Travis Miller,,Other,Rigger,,Blur,core,mobygames:tr235
Brent Wiley,,Other,Rigger,,Blur,core,mobygames:tr235
Thomas Cannell,,Art,Animation Lead,,Blur,core,mobygames:tr237
Paul Allen,,Art,Animators,,Blur,core,mobygames:tr238
David M. Breaux Jr.,,Art,Animators,,Blur,core,mobygames:tr238
Allan Cabal,,Art,Animators,,Blur,core,mobygames:tr238
Ben Cinelli,,Art,Animators,,Blur,core,mobygames:tr238
Derek Esparza,,Art,Animators,,Blur,core,mobygames:tr238
Erik Gamache,,Art,Animators,,Blur,core,mobygames:tr238
Yvain Gnabro,,Art,Animators,,Blur,core,mobygames:tr238
Wade Hampton,,Art,Animators,,Blur,core,mobygames:tr238
Jason Hendrich,,Art,Animators,,Blur,core,mobygames:tr238
Joseph Hoback,,Art,Animators,,Blur,core,mobygames:tr238
Jeremiah Izzard,,Art,Animators,,Blur,core,mobygames:tr238
Tom Judd,,Art,Animators,,Blur,core,mobygames:tr238
Micheal Kiely,,Art,Animators,,Blur,core,mobygames:tr238
Ken King,,Art,Animators,,Blur,core,mobygames:tr238
Michael Loeck,,Art,Animators,,Blur,core,mobygames:tr238
Ryan McGeary,,Art,Animators,,Blur,core,mobygames:tr238
Bradley McLaughlin,,Art,Animators,,Blur,core,mobygames:tr238
Pericles Michielin,,Art,Animators,,Blur,core,mobygames:tr238
Oliver Parcasio,,Art,Animators,,Blur,core,mobygames:tr238
Danny Patterson,,Art,Animators,,Blur,core,mobygames:tr238
Linda Petch,,Art,Animators,,Blur,core,mobygames:tr238
Christian Reese,,Art,Animators,,Blur,core,mobygames:tr238
Anthony Romero,,Art,Animators,,Blur,core,mobygames:tr238
Chase Shields,,Art,Animators,,Blur,core,mobygames:tr238
Miurika Valery Diaz,,Art,Animators,,Blur,core,mobygames:tr238
Erick Ward,,Art,Animators,,Blur,core,mobygames:tr238
Nick Whitmire,,Art,Animators,,Blur,core,mobygames:tr238
Dick Zondag,,Art,Animators,,Blur,core,mobygames:tr238
Luis Lopez,,Other,Cloth Simulation Lead,,Blur,core,mobygames:tr240
Danny Young,,Other,Hair Simulation Lead,,Blur,core,mobygames:tr241
Don De Castro,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Adam Dorner,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Steve Guevera,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Gerry Hsu,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Jon Jordan,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
